Espanol,1972-73,1,0,1,0,1,1,1,0,1,0,0,1,2,0,1,2,0,0,2,0,0,0,0,0,2,0,2,0,1,0,3.0
Espanol,1973-74,0,2,0,2,1,2,0,2,0,1,2,0,2,0,2,0,2,2,0,2,1,0,1,2,0,1,1,1,0,0,9.0
Real Sociedad,1973-74,2,1,0,1,0,2,0,2,0,2,0,1,0,2,2,1,2,2,0,0,0,1,2,0,1,0,1,0,0,2,4.0
Granada,1973-74,0,1,1,0,1,2,2,2,1,2,0,1,0,2,0,2,0,0,0,0,2,1,1,2,1,1,0,2,1,1,6.0
Real Madrid,1973-74,1,1,1,2,0,1,1,1,0,2,0,2,0,2,0,1,1,2,2,0,0,2,2,2,0,0,0,2,0,2,8.0
Valencia,1973-74,0,2,0,0,2,0,0,0,2,0,1,1,2,2,2,2,2,0,2,0,1,0,0,1,2,2,2,0,1,0,10.0
Celta de Vigo,1973-74,0,2,0,1,0,2,2,2,0,1,2,2,2,0,1,0,1,2,0,2,0,2,1,1,0,2,0,0,2,0,12.0
Elche,1973-74,0,2,1,2,0,2,2,1,2,1,2,0,0,0,0,1,2,2,2,2,1,0,2,0,2,0,1,2,2,0,14.0
Barcelona,1973-74,2,1,2,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1.0
Atletico de Madrid,1973-74,0,0,2,0,2,0,2,0,2,1,2,0,1,1,2,0,2,0,0,0,1,0,0,0,1,2,1,0,2,0,2.0
Las Palmas,1973-74,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2,2,1,2,0,0,2,1,1,0,1,1,11.0
CD Malaga,1973-74,2,0,1,1,1,0,1,0,1,0,2,2,2,0,0,2,0,0,0,0,2,1,1,0,2,1,1,0,2,1,7.0
Zaragoza,1973-74,1,0,2,1,2,0,0,1,2,0,1,0,0,1,0,2,0,0,2,0,2,2,0,0,2,0,1,2,0,2,3.0
Espanol,1974-75,0,1,0,0,0,2,0,2,0,2,1,1,0,2,0,2,2,2,0,1,0,1,2,2,0,2,2,2,0,2,11.0
Celta de Vigo,1974-75,2,0,1,2,2,2,1,2,0,2,0,1,1,1,0,1,0,0,1,2,0,2,1,2,0,2,0,2,0,2,17.0
Zaragoza,1974-75,2,0,0,1,2,0,2,0,2,0,1,0,2,1,0,1,0,0,1,1,1,0,2,0,2,0,2,1,0,0,2.0
Hercules,1974-75,1,2,2,1,1,0,0,2,1,0,2,0,2,1,2,2,0,1,1,1,1,1,1,2,0,1,0,0,1,0,5.0
Las Palmas,1974-75,0,1,1,1,2,2,0,2,0,1,1,2,1,2,2,0,2,2,0,1,0,2,0,2,0,2,0,2,1,2,13.0
CD Malaga,1974-75,0,2,2,0,2,2,2,1,2,0,2,0,2,0,2,2,2,2,0,0,1,0,1,1,2,0,0,0,2,1,16.0
Real Sociedad,1974-75,0,2,0,2,1,2,0,2,1,1,1,1,1,1,0,0,0,2,1,2,0,0,0,2,1,1,0,1,1,2,4.0
Barcelona,1974-75,2,0,0,0,1,0,1,0,2,0,2,0,2,0,2,1,2,0,2,1,2,1,2,0,2,0,2,0,0,1,3.0
Valencia,1974-75,2,2,0,2,0,2,2,0,0,1,1,1,1,0,2,1,0,2,1,1,0,2,0,0,2,1,2,0,2,0,12.0
Real Madrid,1974-75,0,0,1,0,0,0,1,0,1,0,1,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,2,0,1,2,1.0
Atletico de Madrid,1974-75,1,2,0,2,0,2,1,1,1,1,0,1,1,0,2,1,2,1,0,2,1,2,0,2,0,1,0,2,1,0,6.0
Granada,1974-75,1,1,2,0,1,0,0,1,1,2,1,2,0,2,0,0,1,1,2,1,2,0,2,2,0,2,0,2,2,1,15.0
