8.0,Elche,34.0,13.0,8.0,13.0,34.0,1974-75
9.0,Real Betis,34.0,14.0,6.0,14.0,34.0,1974-75
10.0,Athletic Club,34.0,13.0,7.0,14.0,33.0,1974-75
11.0,Espanol,34.0,14.0,5.0,15.0,33.0,1974-75
12.0,Valencia,34.0,12.0,8.0,14.0,32.0,1974-75
13.0,Las Palmas,34.0,12.0,8.0,14.0,32.0,1974-75
14.0,Sporting de Gijón,34.0,11.0,10.0,13.0,32.0,1974-75
15.0,Granada,34.0,10.0,11.0,13.0,31.0,1974-75
16.0,CD Malaga,34.0,13.0,5.0,16.0,31.0,1974-75
17.0,Celta de Vigo,34.0,10.0,10.0,14.0,30.0,1974-75
18.0,Real Murcia,34.0,7.0,9.0,18.0,23.0,1974-75
1.0,Real Madrid,34.0,20.0,8.0,6.0,48.0,1975-76
2.0,Barcelona,34.0,18.0,7.0,9.0,43.0,1975-76
3.0,Atletico de Madrid,34.0,18.0,6.0,10.0,42.0,1975-76
4.0,Espanol,34.0,18.0,4.0,12.0,40.0,1975-76
5.0,Athletic Club,34.0,14.0,11.0,9.0,39.0,1975-76
6.0,Hercules,34.0,12.0,12.0,10.0,36.0,1975-76
7.0,Real Betis,34.0,15.0,5.0,14.0,35.0,1975-76
8.0,Real Sociedad,34.0,12.0,10.0,12.0,34.0,1975-76
9.0,Salamanca,34.0,12.0,10.0,12.0,34.0,1975-76
10.0,Valencia,34.0,12.0,8.0,14.0,32.0,1975-76
11.0,Sevilla,34.0,13.0,6.0,15.0,32.0,1975-76
12.0,Real Santander,34.0,14.0,4.0,16.0,32.0,1975-76
13.0,Las Palmas,34.0,12.0,6.0,16.0,30.0,1975-76
14.0,Zaragoza,34.0,11.0,8.0,15.0,30.0,1975-76
15.0,Elche,34.0,8.0,12.0,14.0,28.0,1975-76
16.0,Real Oviedo,34.0,11.0,5.0,18.0,27.0,1975-76
17.0,Granada,34.0,8.0,10.0,16.0,26.0,1975-76
18.0,Sporting de Gijón,34.0,7.0,10.0,17.0,24.0,1975-76
1.0,Atletico de Madrid,34.0,19.0,8.0,7.0,46.0,1976-77
2.0,Barcelona,34.0,18.0,9.0,7.0,45.0,1976-77
3.0,Athletic Club,34.0,15.0,8.0,11.0,38.0,1976-77
4.0,Las Palmas,34.0,15.0,6.0,13.0,36.0,1976-77
5.0,Betis,34.0,15.0,6.0,13.0,36.0,1976-77
6.0,Espanol,34.0,14.0,8.0,12.0,36.0,1976-77
7.0,Valencia,34.0,13.0,10.0,11.0,36.0,1976-77
8.0,Real Sociedad,34.0,13.0,8.0,13.0,34.0,1976-77
9.0,Real Madrid,34.0,12.0,10.0,12.0,34.0,1976-77
10.0,Sevilla,34.0,11.0,12.0,11.0,34.0,1976-77
11.0,Elche,34.0,11.0,11.0,12.0,33.0,1976-77
12.0,Salamanca,34.0,13.0,6.0,15.0,32.0,1976-77
13.0,Hercules,34.0,11.0,10.0,13.0,32.0,1976-77
14.0,Burgos,34.0,14.0,4.0,16.0,32.0,1976-77
15.0,Racing de Santander,34.0,12.0,7.0,15.0,31.0,1976-77
16.0,Zaragoza,34.0,10.0,10.0,14.0,30.0,1976-77
17.0,Celta de Vigo,34.0,9.0,11.0,14.0,29.0,1976-77
18.0,CD Malaga,34.0,6.0,6.0,22.0,18.0,1976-77
1.0,Real Madrid,34.0,22.0,3.0,9.0,47.0,1977-78
2.0,Barcelona,34.0,16.0,9.0,9.0,41.0,1977-78
3.0,Athletic Club,34.0,16.0,8.0,10.0,40.0,1977-78
4.0,Valencia,34.0,16.0,7.0,11.0,39.0,1977-78
5.0,Sporting de Gijón,34.0,15.0,9.0,10.0,39.0,1977-78
6.0,Atletico de Madrid,34.0,16.0,4.0,14.0,36.0,1977-78
7.0,Las Palmas,34.0,12.0,11.0,11.0,35.0,1977-78
8.0,Sevilla,34.0,13.0,8.0,13.0,34.0,1977-78
9.0,Salamanca,34.0,14.0,6.0,14.0,34.0,1977-78
10.0,Rayo Vallecano,34.0,12.0,9.0,13.0,33.0,1977-78
11.0,Real Sociedad,34.0,12.0,9.0,13.0,33.0,1977-78
12.0,Burgos,34.0,10.0,11.0,13.0,31.0,1977-78
13.0,Racing de Santander,34.0,11.0,9.0,14.0,31.0,1977-78
14.0,Espanol,34.0,12.0,6.0,16.0,30.0,1977-78
15.0,Hercules,34.0,10.0,10.0,14.0,30.0,1977-78
16.0,Real Betis,34.0,11.0,8.0,15.0,30.0,1977-78
17.0,Elche,34.0,11.0,5.0,18.0,27.0,1977-78
18.0,Cadiz,34.0,7.0,8.0,19.0,22.0,1977-78
1.0,Real Madrid,34.0,22.0,9.0,3.0,53.0,1979-80
2.0,Real Sociedad,34.0,19.0,14.0,1.0,52.0,1979-80
3.0,Sporting de Gijon,34.0,16.0,7.0,11.0,39.0,1979-80
4.0,Barcelona,34.0,13.0,12.0,9.0,38.0,1979-80
5.0,Real Betis,34.0,12.0,12.0,10.0,36.0,1979-80
6.0,Valencia,34.0,12.0,12.0,10.0,36.0,1979-80
7.0,Athletic Club,34.0,15.0,5.0,14.0,35.0,1979-80
8.0,Sevilla,34.0,14.0,6.0,14.0,34.0,1979-80
9.0,Salamanca,34.0,13.0,8.0,13.0,34.0,1979-80
10.0,Almeria,34.0,11.0,11.0,12.0,33.0,1979-80
11.0,Zaragoza,34.0,13.0,7.0,14.0,33.0,1979-80
12.0,Las Palmas,34.0,13.0,6.0,15.0,32.0,1979-80
13.0,Atletico de Madrid,34.0,10.0,11.0,13.0,31.0,1979-80
14.0,Espanol,34.0,9.0,12.0,13.0,30.0,1979-80
15.0,Hercules,34.0,8.0,12.0,14.0,28.0,1979-80
16.0,Rayo Vallecano,34.0,9.0,8.0,17.0,26.0,1979-80
17.0,Burgos,34.0,5.0,10.0,19.0,20.0,1979-80
18.0,CD Malaga,34.0,8.0,6.0,20.0,19.0,1979-80
1.0,Real Sociedad,34.0,19.0,7.0,8.0,45.0,1980-81
2.0,Real Madrid,34.0,20.0,5.0,9.0,45.0,1980-81
3.0,Atletico de Madrid,34.0,16.0,10.0,8.0,42.0,1980-81
4.0,Valencia,34.0,17.0,8.0,9.0,42.0,1980-81
5.0,Barcelona,34.0,18.0,5.0,11.0,41.0,1980-81
6.0,Real Betis,34.0,17.0,6.0,11.0,40.0,1980-81
7.0,Sporting de Gijon,34.0,14.0,10.0,10.0,38.0,1980-81
8.0,Sevilla,34.0,14.0,9.0,11.0,37.0,1980-81
9.0,Athletic Club,34.0,14.0,7.0,13.0,35.0,1980-81
10.0,Espanol,34.0,14.0,6.0,14.0,34.0,1980-81
11.0,Osasuna,34.0,12.0,8.0,14.0,32.0,1980-81
12.0,Real Valladolid,34.0,9.0,13.0,12.0,31.0,1980-81
13.0,Hercules,34.0,10.0,10.0,14.0,30.0,1980-81
14.0,Zaragoza,34.0,9.0,11.0,14.0,29.0,1980-81
15.0,Las Palmas,34.0,12.0,4.0,18.0,28.0,1980-81
16.0,Real Murcia,34.0,8.0,7.0,19.0,23.0,1980-81
17.0,Salamanca,34.0,7.0,7.0,20.0,21.0,1980-81
18.0,Almeria,34.0,6.0,7.0,21.0,19.0,1980-81
1.0,Real Sociedad,34.0,20.0,7.0,7.0,47.0,1981-82
2.0,Barcelona,34.0,19.0,7.0,8.0,45.0,1981-82
3.0,Real Madrid,34.0,18.0,8.0,8.0,44.0,1981-82
4.0,Athletic Club,34.0,18.0,4.0,12.0,40.0,1981-82
5.0,Valencia,34.0,17.0,5.0,12.0,39.0,1981-82
6.0,Real Betis,34.0,15.0,6.0,13.0,36.0,1981-82
7.0,Sevilla,34.0,15.0,5.0,14.0,35.0,1981-82
8.0,Atletico de Madrid,34.0,15.0,4.0,15.0,34.0,1981-82
9.0,Real Valladolid,34.0,13.0,8.0,13.0,34.0,1981-82
10.0,Osasuna,34.0,14.0,6.0,14.0,34.0,1981-82
11.0,Zaragoza,34.0,13.0,8.0,13.0,34.0,1981-82
12.0,Racing de Santander,34.0,12.0,8.0,14.0,32.0,1981-82
13.0,Espanol,34.0,13.0,6.0,15.0,32.0,1981-82
14.0,Sporting de Gijon,34.0,10.0,9.0,15.0,29.0,1981-82
15.0,Las Palmas,34.0,11.0,7.0,16.0,29.0,1981-82
16.0,Cadiz,34.0,13.0,3.0,18.0,29.0,1981-82
17.0,Hercules,34.0,11.0,5.0,18.0,27.0,1981-82
18.0,Castellón,34.0,3.0,6.0,25.0,12.0,1981-82
1.0,Athletic Club,34.0,22.0,6.0,6.0,50.0,1982-83
2.0,Real Madrid,34.0,20.0,9.0,5.0,49.0,1982-83
3.0,Atletico de Madrid,34.0,20.0,6.0,8.0,46.0,1982-83
4.0,Barcelona,34.0,17.0,10.0,7.0,44.0,1982-83
5.0,Sevilla,34.0,15.0,12.0,7.0,42.0,1982-83
6.0,Zaragoza,34.0,17.0,6.0,11.0,40.0,1982-83
7.0,Real Sociedad,34.0,12.0,12.0,10.0,36.0,1982-83
8.0,Sporting de Gijon,34.0,9.0,15.0,10.0,33.0,1982-83
9.0,Espanol,34.0,13.0,6.0,15.0,32.0,1982-83
10.0,CD Malaga,34.0,10.0,10.0,14.0,30.0,1982-83
11.0,Real Betis,34.0,9.0,12.0,13.0,30.0,1982-83
12.0,Real Valladolid,34.0,9.0,11.0,14.0,29.0,1982-83
13.0,Salamanca,34.0,10.0,8.0,16.0,28.0,1982-83
14.0,Osasuna,34.0,10.0,6.0,18.0,26.0,1982-83
15.0,Valencia,34.0,9.0,7.0,18.0,25.0,1982-83
16.0,Las Palmas,34.0,7.0,11.0,16.0,25.0,1982-83
17.0,Celta de Vigo,34.0,9.0,6.0,19.0,24.0,1982-83
18.0,Racing de Santander,34.0,9.0,5.0,20.0,23.0,1982-83
1.0,Barcelona,34.0,21.0,11.0,2.0,53.0,1984-85
2.0,Atletico de Madrid,34.0,16.0,11.0,7.0,43.0,1984-85
3.0,Athletic Club,34.0,13.0,15.0,6.0,41.0,1984-85
4.0,Sporting de Gijón,34.0,13.0,15.0,6.0,41.0,1984-85
5.0,Real Madrid,34.0,13.0,10.0,11.0,36.0,1984-85
6.0,Osasuna,34.0,13.0,8.0,13.0,34.0,1984-85
7.0,Real Sociedad,34.0,11.0,12.0,11.0,34.0,1984-85
8.0,Espanol,34.0,11.0,12.0,11.0,34.0,1984-85
9.0,Valencia,34.0,9.0,15.0,10.0,33.0,1984-85
10.0,Zaragoza,34.0,11.0,11.0,12.0,33.0,1984-85
11.0,Racing de Santander,34.0,10.0,12.0,12.0,32.0,1984-85
12.0,Sevilla,34.0,10.0,11.0,13.0,31.0,1984-85
13.0,Real Valladolid,34.0,7.0,16.0,11.0,30.0,1984-85
14.0,Real Betis,34.0,11.0,8.0,15.0,30.0,1984-85
15.0,Hercules,34.0,9.0,12.0,13.0,30.0,1984-85
16.0,CD Malaga,34.0,7.0,15.0,12.0,29.0,1984-85
17.0,Elche,34.0,6.0,14.0,14.0,26.0,1984-85
18.0,Real Murcia,34.0,6.0,10.0,18.0,22.0,1984-85
1.0,Real Madrid,34.0,26.0,4.0,4.0,56.0,1985-86
2.0,Barcelona,34.0,18.0,9.0,7.0,45.0,1985-86
3.0,Athletic Club,34.0,17.0,9.0,8.0,43.0,1985-86
4.0,Zaragoza,34.0,15.0,12.0,7.0,42.0,1985-86
5.0,Atletico de Madrid,34.0,17.0,8.0,9.0,42.0,1985-86
6.0,Sporting de Gijon,34.0,13.0,15.0,6.0,41.0,1985-86
7.0,Real Sociedad,34.0,17.0,5.0,12.0,39.0,1985-86
8.0,Real Betis,34.0,11.0,13.0,10.0,35.0,1985-86
9.0,Sevilla,34.0,12.0,10.0,12.0,34.0,1985-86
10.0,Real Valladolid,34.0,13.0,6.0,15.0,32.0,1985-86
11.0,Espanol,34.0,11.0,9.0,14.0,31.0,1985-86
12.0,Racing de Santander,34.0,10.0,11.0,13.0,31.0,1985-86
13.0,Las Palmas,34.0,9.0,9.0,16.0,27.0,1985-86
14.0,Osasuna,34.0,9.0,9.0,16.0,27.0,1985-86
15.0,Cadiz,34.0,9.0,8.0,17.0,26.0,1985-86
16.0,Valencia,34.0,8.0,9.0,17.0,25.0,1985-86
17.0,Hercules,34.0,8.0,6.0,20.0,22.0,1985-86
18.0,Celta de Vigo,34.0,5.0,4.0,25.0,14.0,1985-86
1.0,Real Madrid,44.0,27.0,12.0,5.0,66.0,1986-87
2.0,Barcelona,44.0,24.0,15.0,5.0,63.0,1986-87
3.0,Espanol,44.0,20.0,11.0,13.0,51.0,1986-87
4.0,Sporting de Gijon,44.0,16.0,13.0,15.0,45.0,1986-87
5.0,Zaragoza,44.0,15.0,14.0,15.0,44.0,1986-87
6.0,Mallorca,44.0,15.0,12.0,17.0,42.0,1986-87
7.0,Atletico de Madrid,44.0,18.0,11.0,15.0,47.0,1986-87
8.0,Real Sociedad,44.0,19.0,9.0,16.0,47.0,1986-87
9.0,Real Betis,44.0,18.0,9.0,17.0,45.0,1986-87
10.0,Real Valladolid,44.0,15.0,11.0,18.0,41.0,1986-87
11.0,Real Murcia,44.0,17.0,7.0,20.0,41.0,1986-87
12.0,Sevilla,44.0,14.0,11.0,19.0,39.0,1986-87
13.0,Athletic Club,44.0,15.0,12.0,17.0,42.0,1986-87
14.0,Las Palmas,44.0,16.0,9.0,19.0,41.0,1986-87
15.0,Sabadell,44.0,12.0,14.0,18.0,38.0,1986-87
16.0,Osasuna,44.0,12.0,14.0,18.0,38.0,1986-87
17.0,Racing de Santander,44.0,12.0,9.0,23.0,33.0,1986-87
18.0,Cadiz,44.0,10.0,9.0,25.0,29.0,1986-87
1.0,Real Madrid,38.0,28.0,6.0,4.0,62.0,1987-88
2.0,Real Sociedad,38.0,22.0,7.0,9.0,51.0,1987-88
3.0,Atletico de Madrid,38.0,19.0,10.0,9.0,48.0,1987-88
4.0,Athletic Club,38.0,17.0,12.0,9.0,46.0,1987-88
5.0,Osasuna,38.0,15.0,10.0,13.0,40.0,1987-88
6.0,Barcelona,38.0,15.0,9.0,14.0,39.0,1987-88
7.0,Celta de Vigo,38.0,14.0,11.0,13.0,39.0,1987-88
8.0,Real Valladolid,38.0,13.0,12.0,13.0,38.0,1987-88
9.0,Sporting de Gijon,38.0,14.0,10.0,14.0,38.0,1987-88
10.0,Sevilla,38.0,13.0,11.0,14.0,37.0,1987-88
11.0,Zaragoza,38.0,11.0,14.0,13.0,36.0,1987-88
12.0,Cadiz,38.0,11.0,13.0,14.0,35.0,1987-88
13.0,Logroñés,38.0,12.0,9.0,17.0,33.0,1987-88
14.0,Valencia,38.0,10.0,13.0,15.0,33.0,1987-88
15.0,Espanol,38.0,11.0,11.0,16.0,33.0,1987-88
16.0,Real Betis,38.0,14.0,5.0,19.0,33.0,1987-88
17.0,Real Murcia,38.0,9.0,13.0,16.0,31.0,1987-88
18.0,Real Mallorca,38.0,9.0,12.0,17.0,30.0,1987-88
19.0,Sabadell,38.0,9.0,11.0,18.0,29.0,1987-88
20.0,Las Palmas,38.0,12.0,5.0,21.0,29.0,1987-88
1.0,Real Madrid,38.0,25.0,12.0,1.0,62.0,1988-89
2.0,Barcelona,38.0,23.0,11.0,4.0,57.0,1988-89
3.0,Valencia,38.0,18.0,13.0,7.0,49.0,1988-89
4.0,Atletico de Madrid,38.0,19.0,8.0,11.0,46.0,1988-89
5.0,Zaragoza,38.0,15.0,13.0,10.0,43.0,1988-89
6.0,Real Valladolid,38.0,18.0,7.0,13.0,43.0,1988-89
7.0,Athletic Club,38.0,15.0,12.0,11.0,42.0,1988-89
8.0,Celta de Vigo,38.0,14.0,11.0,13.0,39.0,1988-89
9.0,Sevilla,38.0,13.0,12.0,13.0,38.0,1988-89
10.0,Osasuna,38.0,13.0,11.0,14.0,37.0,1988-89
11.0,Real Sociedad,38.0,11.0,14.0,13.0,36.0,1988-89
