Las Palmas,1972-73,0,0,1,2,0,2,2,2,2,1,1,1,2,0,2,0,1,2,0,2,2,2,0,0,1,2,1,0,2,0
Oviedo,1972-73,2,2,2,0,2,1,1,0,1,2,2,1,1,1,1,2,0,0,2,1,2,0,1,0,0,1,2,2,0,0
CD Malaga,1972-73,1,1,1,0,2,0,0,2,1,0,1,0,2,1,0,0,2,2,0,0,2,1,2,2,1,0,2,0,2,1
Atletico de Bilbao,1972-73,1,1,0,0,2,0,2,2,2,0,2,1,1,0,1,2,0,0,2,1,2,0,2,2,1,0,2,0,2,1
Atletico de Madrid,1972-73,2,0,0,0,1,2,0,0,0,1,2,1,0,0,0,1,1,0,0,2,2,2,0,0,1,0,0,0,0,0
Valencia,1972-73,0,2,1,1,1,0,1,1,2,2,0,2,0,2,0,1,1,2,1,1,0,2,2,2,0,2,0,2,0,1
Barcelona,1972-73,0,0,0,0,0,1,0,2,1,1,0,1,0,2,1,0,0,0,1,1,0,1,2,0,0,2,0,2,0,2
Deportivo,1972-73,2,1,2,0,1,1,0,1,1,2,2,2,0,2,0,2,1,2,2,1,1,0,1,2,1,2,0,2,0,2
Burgos,1972-73,0,2,1,2,1,2,0,2,0,2,1,2,2,2,1,0,2,2,0,2,1,2,0,2,2,0,0,2,2,2
Real Sociedad,1972-73,2,1,0,1,2,0,2,0,2,0,0,0,1,0,2,0,2,0,2,0,2,1,2,2,2,0,1,0,2,2
Castellon,1972-73,2,2,2,1,0,2,2,0,0,1,2,1,0,0,2,0,2,2,0,1,0,1,0,0,2,0,2,0,1,1
Real Madrid,1972-73,0,0,1,2,2,0,1,1,0,0,2,0,0,2,0,2,0,0,2,0,0,1,0,1,1,0,0,1,0,2
Celta de Vigo,1972-73,1,1,2,2,1,0,2,0,2,1,2,2,2,0,1,1,2,2,0,2,0,0,2,0,1,2,2,1,1,0
Espanol,1972-73,1,0,1,0,1,1,1,0,1,0,0,1,2,0,1,2,0,0,2,0,0,0,0,0,2,0,2,0,1,0
Espanol,1973-74,0,2,0,2,1,2,0,2,0,1,2,0,2,0,2,0,2,2,0,2,1,0,1,2,0,1,1,1,0,0
Murcia,1973-74,2,1,1,0,1,0,1,1,1,2,0,2,0,2,2,2,1,0,2,2,2,2,1,2,0,2,1,0,0,2
Real Sociedad,1973-74,2,1,0,1,0,2,0,2,0,2,0,1,0,2,2,1,2,2,0,0,0,1,2,0,1,0,1,0,0,2
Granada,1973-74,0,1,1,0,1,2,2,2,1,2,0,1,0,2,0,2,0,0,0,0,2,1,1,2,1,1,0,2,1,1
Real Madrid,1973-74,1,1,1,2,0,1,1,1,0,2,0,2,0,2,0,1,1,2,2,0,0,2,2,2,0,0,0,2,0,2
Castellon,1973-74,1,0,1,2,1,2,2,2,0,1,1,2,2,1,1,2,0,0,2,2,0,0,2,2,0,1,1,2,1,2
Valencia,1973-74,0,2,0,0,2,0,0,0,2,0,1,1,2,2,2,2,2,0,2,0,1,0,0,1,2,2,2,0,1,0
Oviedo,1973-74,2,0,1,0,2,0,2,1,2,0,2,2,2,2,2,0,0,2,0,0,2,2,1,2,2,1,2,2,2,0
Celta de Vigo,1973-74,0,2,0,1,0,2,2,2,0,1,2,2,2,0,1,0,1,2,0,2,0,2,1,1,0,2,0,0,2,0
Atletico de Bilbao,1973-74,2,0,2,0,1,0,1,2,0,2,0,0,1,0,0,1,0,0,2,2,2,1,0,0,2,2,1,2,0,2
Elche,1973-74,0,2,1,2,0,2,2,1,2,1,2,0,0,0,0,1,2,2,2,2,1,0,2,0,2,0,1,2,2,0
Barcelona,1973-74,2,1,2,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
Sporting de Gijon,1973-74,2,2,2,2,0,2,0,0,0,2,0,2,0,2,0,2,1,2,0,2,0,0,2,2,0,1,1,2,2,2
Atletico de Madrid,1973-74,0,0,2,0,2,0,2,0,2,1,2,0,1,1,2,0,2,0,0,0,1,0,0,0,1,2,1,0,2,0
Las Palmas,1973-74,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2,2,1,2,0,0,2,1,1,0,1,1
CD Malaga,1973-74,2,0,1,1,1,0,1,0,1,0,2,2,2,0,0,2,0,0,0,0,2,1,1,0,2,1,1,0,2,1
Santander,1973-74,1,1,1,2,0,2,0,1,2,1,0,1,2,1,2,0,2,2,2,2,0,2,2,2,0,1,2,1,2,0
Zaragoza,1973-74,1,0,2,1,2,0,0,1,2,0,1,0,0,1,0,2,0,0,2,0,2,2,0,0,2,0,1,2,0,2
Espanol,1974-75,0,1,0,0,0,2,0,2,0,2,1,1,0,2,0,2,2,2,0,1,0,1,2,2,0,2,2,2,0,2
Celta de Vigo,1974-75,2,0,1,2,2,2,1,2,0,2,0,1,1,1,0,1,0,0,1,2,0,2,1,2,0,2,0,2,0,2
Sporting de Gijon,1974-75,0,0,2,2,1,0,2,0,1,1,1,1,2,0,2,0,1,2,1,1,1,2,2,0,2,1,2,0,2,0
Zaragoza,1974-75,2,0,0,1,2,0,2,0,2,0,1,0,2,1,0,1,0,0,1,1,1,0,2,0,2,0,2,1,0,0
Hercules,1974-75,1,2,2,1,1,0,0,2,1,0,2,0,2,1,2,2,0,1,1,1,1,1,1,2,0,1,0,0,1,0
Murcia,1974-75,1,0,2,1,2,0,2,1,2,1,1,2,2,2,0,2,2,1,2,0,2,1,1,1,2,0,2,2,2,2
Las Palmas,1974-75,0,1,1,1,2,2,0,2,0,1,1,2,1,2,2,0,2,2,0,1,0,2,0,2,0,2,0,2,1,2
Betis,1974-75,2,1,1,0,1,2,0,2,0,0,0,2,0,2,0,2,0,0,2,0,2,2,1,1,2,2,0,2,0,2
CD Malaga,1974-75,0,2,2,0,2,2,2,1,2,0,2,0,2,0,2,2,2,2,0,0,1,0,1,1,2,0,0,0,2,1
Atletico de Bilbao,1974-75,2,2,2,1,1,0,2,0,2,2,1,0,0,0,2,2,0,0,1,1,1,1,2,0,2,0,2,0,2,0
Real Sociedad,1974-75,0,2,0,2,1,2,0,2,1,1,1,1,1,1,0,0,0,2,1,2,0,0,0,2,1,1,0,1,1,2
Barcelona,1974-75,2,0,0,0,1,0,1,0,2,0,2,0,2,0,2,1,2,0,2,1,2,1,2,0,2,0,2,0,0,1
Valencia,1974-75,2,2,0,2,0,2,2,0,0,1,1,1,1,0,2,1,0,2,1,1,0,2,0,0,2,1,2,0,2,0
Real Madrid,1974-75,0,0,1,0,0,0,1,0,1,0,1,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,2,0,1,2
Atletico de Madrid,1974-75,1,2,0,2,0,2,1,1,1,1,0,1,1,0,2,1,2,1,0,2,1,2,0,2,0,1,0,2,1,0
Granada,1974-75,1,1,2,0,1,0,0,1,1,2,1,2,0,2,0,0,1,1,2,1,2,0,2,2,0,2,0,2,2,1
Salamanca,1974-75,0,2,1,1,1,2,0,2,2,2,1,1,1,0,2,0,1,0,0,2,1,1,0,1,0,1,2,1,1,0
